iter	Logloss
0	0.6848580077
1	0.6768429096
2	0.6699419126
3	0.661349831
4	0.6546023861
5	0.6482634492
6	0.6408047519
7	0.6335595938
8	0.6257396321
9	0.619296315
10	0.6119700002
11	0.6052812849
12	0.5992250128
13	0.5923114819
14	0.5859628195
15	0.5800691123
16	0.5737913362
17	0.5671810947
18	0.5615311507
19	0.5570186573
20	0.5510927976
21	0.5448150635
22	0.5396124033
23	0.5339711787
24	0.5282673259
25	0.5236561534
26	0.518348107
27	0.514121087
28	0.5087571197
29	0.5035584418
30	0.4986778511
31	0.4933009724
32	0.4885861743
33	0.4847430554
34	0.4799086183
35	0.4752795041
36	0.4698256189
37	0.4658298702
38	0.4609675145
39	0.4571840056
40	0.4532098875
41	0.4486050029
42	0.445042453
43	0.4405325586
44	0.4366839901
45	0.4324023069
46	0.4283129514
47	0.4240932255
48	0.4202056717
49	0.4165206742
50	0.4130291362
51	0.4085181519
52	0.4048290881
53	0.4011681525
54	0.3975599519
55	0.3947525444
56	0.3911623693
57	0.3887150104
58	0.3859541338
59	0.3823819003
60	0.3798555647
61	0.3766712566
62	0.3734419267
63	0.3706285246
64	0.366965996
65	0.3630256234
66	0.3600660052
67	0.3566821172
68	0.3541379656
69	0.3513048612
70	0.3483240526
71	0.3447045966
72	0.3424787836
73	0.3411152389
74	0.3386836
75	0.3362218417
76	0.3330558945
77	0.3305800092
78	0.3277298854
79	0.32521229
80	0.3224366157
81	0.3198238834
82	0.3188826802
83	0.3167112581
84	0.3142227969
85	0.3115897126
86	0.3094683637
87	0.3073570964
88	0.305064128
89	0.302905701
90	0.3006819421
91	0.2984024719
92	0.296214219
93	0.2936087807
94	0.2905411982
95	0.2884192834
96	0.2860507336
97	0.2841724354
98	0.2824277773
99	0.2801679255
100	0.2784784548
101	0.2759581346
102	0.2743847396
103	0.2716372773
104	0.2698756627
105	0.2679616069
106	0.266315544
107	0.2647953662
108	0.2630479834
109	0.2614800589
110	0.259739509
111	0.2579186827
112	0.2556000175
113	0.2539565327
114	0.2524860717
115	0.250909449
116	0.2492403722
117	0.2475794907
118	0.2461426703
119	0.2448684986
120	0.243112061
121	0.2413605072
122	0.2399662353
123	0.238584204
124	0.2369792854
125	0.235612471
126	0.234157185
127	0.2325887785
128	0.2312301384
129	0.2300944066
130	0.2288495577
131	0.2271420405
132	0.2258368691
133	0.224380556
134	0.2230907901
135	0.2219020508
136	0.2214694809
137	0.2198562412
138	0.2184176393
139	0.2172829345
140	0.217077926
141	0.2161983238
142	0.2151719397
143	0.2136701647
144	0.2125669207
145	0.2114193675
146	0.2099208203
147	0.2086884216
148	0.2075899355
149	0.2063555455
150	0.2051175715
151	0.204025562
152	0.2027790782
153	0.2015385051
154	0.2002891289
155	0.1994894468
156	0.1982491252
157	0.1969049475
158	0.195945069
159	0.1946136558
160	0.1935293596
161	0.1925590012
162	0.1913036933
163	0.190453959
164	0.1897170727
165	0.1886227786
166	0.1873537001
167	0.1864603902
168	0.185680096
169	0.1846432948
170	0.183536823
171	0.1823629861
172	0.1816653577
173	0.180871691
174	0.1801447187
175	0.1794090271
176	0.1784206432
177	0.1773466173
178	0.1765985174
179	0.1755067595
180	0.1746079896
181	0.1736633594
182	0.1729395521
183	0.1721995846
184	0.1711589897
185	0.1702366923
186	0.1693715525
187	0.1685855258
188	0.1677829721
189	0.1670982654
190	0.1661266075
191	0.1653881702
192	0.1647733332
193	0.1639384175
194	0.1631520764
195	0.1625336867
196	0.1617131705
197	0.1609468984
198	0.1601882138
199	0.1594644274
200	0.1587662225
201	0.1582231731
202	0.1574194667
203	0.1564813132
204	0.1557319348
205	0.1550032647
206	0.1542254333
207	0.1534310016
208	0.1530420073
209	0.1524155271
210	0.1518840266
211	0.1511132377
212	0.150403138
213	0.1495261769
214	0.1489189903
215	0.14849864
216	0.1479170977
217	0.1473270458
218	0.1466563717
219	0.145962778
220	0.145380869
221	0.1448647845
222	0.1443732125
223	0.1437887883
224	0.1434073396
225	0.1427110106
226	0.1420981648
227	0.1415703323
228	0.1408738566
229	0.1403470406
230	0.1397136227
231	0.1391651133
232	0.1384333935
233	0.138047365
234	0.1373890573
235	0.1368684245
236	0.1361915358
237	0.1353764586
238	0.1348320154
239	0.1343100621
240	0.1338355201
241	0.1332352921
242	0.1327557407
243	0.1321226162
244	0.1314473414
245	0.1309300727
246	0.1303445376
247	0.1297706038
248	0.1291504535
249	0.1284813724
250	0.1278305683
251	0.1274694191
252	0.1269726177
253	0.1263019331
254	0.1257302944
255	0.1251982909
256	0.1248729412
257	0.1244327629
258	0.1239285941
259	0.1237605168
260	0.1233579615
261	0.1230085079
262	0.1225064246
263	0.1219558716
264	0.1215737731
265	0.1211050893
266	0.1206472942
267	0.1201818068
268	0.119745506
269	0.1193386539
270	0.1188693518
271	0.1184353881
272	0.1179250885
273	0.1174981777
274	0.1170256269
275	0.1165029295
276	0.116083229
277	0.1156446646
278	0.1152724381
279	0.1147403298
280	0.114463125
281	0.114019897
282	0.1135621228
283	0.1134361644
284	0.1131166731
285	0.1127242832
286	0.1122129042
287	0.1118978249
288	0.1116254408
289	0.1113755048
290	0.1110181599
291	0.1108246269
292	0.1104331174
293	0.1100036181
294	0.1096972162
295	0.109189023
296	0.1089267731
297	0.1085275818
298	0.1081404424
299	0.1077753319
300	0.1074637109
301	0.1071253137
302	0.10670729
303	0.1064939918
304	0.1061537606
305	0.1057671872
306	0.1054102091
307	0.1049956123
308	0.1047238989
309	0.1043677487
310	0.1039135797
311	0.1038127522
312	0.1035227828
313	0.1032728782
314	0.1030343863
315	0.1026324702
316	0.102321478
317	0.1019604023
318	0.101647922
319	0.1012554169
320	0.1009258438
321	0.1006014897
322	0.1003051171
323	0.0999785832
324	0.09967879411
325	0.09923394172
326	0.09890011379
327	0.09861224038
328	0.09821844625
329	0.09770542187
330	0.09741499136
331	0.09718603616
332	0.09691663889
333	0.09661427173
334	0.09628013988
335	0.09602604332
336	0.09569618728
337	0.09558568682
338	0.09526468633
339	0.09491047492
340	0.09462381719
341	0.0943299807
342	0.09404823806
343	0.09376027034
344	0.09340139536
345	0.0930848174
346	0.09282722054
347	0.09259740599
348	0.09223270416
349	0.09200475504
350	0.09176235409
351	0.09143815722
352	0.09110534584
353	0.09104580932
354	0.09084081126
355	0.09052364643
356	0.09022599524
357	0.08990420876
358	0.08966176588
359	0.08934286139
360	0.08905561678
361	0.08872587602
362	0.08843016362
363	0.08811798724
364	0.08782871477
365	0.08742240759
366	0.08718387373
367	0.08689997222
368	0.08650702173
369	0.08626385574
370	0.08605982183
371	0.08571850075
372	0.08542271499
373	0.08523147709
374	0.08494775374
375	0.08469863514
376	0.08444593241
377	0.084212911
378	0.08389496541
379	0.08366433343
380	0.08351687547
381	0.08322026703
382	0.08298634959
383	0.08276136629
384	0.08254109896
385	0.08228423569
386	0.08203094608
387	0.08173812091
388	0.08145123262
389	0.08118917654
390	0.08094488919
391	0.08075503465
392	0.08044773144
393	0.0802017673
394	0.07997787392
395	0.07967652855
396	0.07948289599
397	0.07926629664
398	0.07906324785
399	0.07880263276
400	0.07863579216
401	0.07839851065
402	0.07815814804
403	0.07799579285
404	0.07774086837
405	0.07758587009
406	0.07744190195
407	0.07724848946
408	0.07705345783
409	0.07679010748
410	0.07657715514
411	0.07635797249
412	0.07611432966
413	0.07596509011
414	0.07570567498
415	0.07547940789
416	0.07519992891
417	0.07489993546
418	0.07468949831
419	0.07449830233
420	0.07432184115
421	0.07407223523
422	0.07382043901
423	0.07365662711
424	0.07347846817
425	0.07316234086
426	0.07293937494
427	0.07273958018
428	0.072546917
429	0.07226554116
430	0.07198740362
431	0.07175868422
432	0.0716582183
433	0.07140913638
434	0.07125130853
435	0.07109234359
436	0.07091783167
437	0.07073703179
438	0.07054394942
439	0.07037166449
440	0.07018496964
441	0.06997646604
442	0.06980344751
443	0.06957724854
444	0.06935110197
445	0.06915717073
446	0.06901250567
447	0.06885333638
448	0.06882539686
449	0.06862510954
450	0.06845619914
451	0.06829794161
452	0.06815907195
453	0.06794697898
454	0.06778189376
455	0.06766991563
456	0.06749953804
457	0.06731874864
458	0.06721901108
459	0.06700307196
460	0.06681804343
461	0.06662264499
462	0.06651560815
463	0.06631126509
464	0.06610026726
465	0.06589514345
466	0.0657819706
467	0.0655977071
468	0.06542665356
